dnid,dnname,dnlatitude,dnlongitude,dnradius
4812111200,경상남도 창원시 의창구 덕정동,35.23082523,128.6416645,0.115
4812111300,경상남도 창원시 의창구 지귀동,35.25019862,128.6582348,0.458
4812111400,경상남도 창원시 의창구 서곡동,35.25237139,128.6546018,0.477
4886031027,경상남도 산청군 차황면 신기리,35.46956718,127.9404677,1.28
4886031028,경상남도 산청군 차황면 부리,35.45322492,127.9289435,1.634
4886031029,경상남도 산청군 차황면 우사리,35.44768461,127.9428139,1.825
4886031030,경상남도 산청군 차황면 철수리,35.43703886,127.9549458,1.701
4886031031,경상남도 산청군 차황면 상법리,35.45940003,127.9706416,1.694
4886032000,경상남도 산청군 오부면,35.49106676,127.8922189,5.068
4886032021,경상남도 산청군 오부면 양촌리,35.45627268,127.8696979,1.441
4886032022,경상남도 산청군 오부면 방곡리,35.46548725,127.8930276,1.828
4886032023,경상남도 산청군 오부면 내곡리,35.47515244,127.8752299,1.945
4886032024,경상남도 산청군 오부면 일물리,35.48369193,127.892901,1.517
4886032025,경상남도 산청군 오부면 오전리,35.49667023,127.8913604,1.966
4886032026,경상남도 산청군 오부면 중촌리,35.51350704,127.9014729,2.067
4886032027,경상남도 산청군 오부면 왕촌리,35.52222841,127.8929147,1.682
4886032028,경상남도 산청군 오부면 대현리,35.50387246,127.9142775,1.715
4886033000,경상남도 산청군 생초면,35.5092366,127.8480567,6.846
4886033021,경상남도 산청군 생초면 어서리,35.49532793,127.8271882,2.065
4886033022,경상남도 산청군 생초면 노은리,35.51783659,127.8545067,2.717
4886033023,경상남도 산청군 생초면 구평리,35.53436677,127.8551309,1.82
4886033024,경상남도 산청군 생초면 향양리,35.55479194,127.8606663,2.343
4886033025,경상남도 산청군 생초면 월곡리,35.50069272,127.8648555,2.587
4886033026,경상남도 산청군 생초면 신연리,35.47938438,127.8550696,1.903
4886033027,경상남도 산청군 생초면 대포리,35.46428878,127.8504572,0.949
4886033028,경상남도 산청군 생초면 갈전리,35.4772755,127.840872,1.665
4886033029,경상남도 산청군 생초면 평촌리,35.47035232,127.8302415,1.795
4886033030,경상남도 산청군 생초면 하촌리,35.48557514,127.8260618,0.809
4886033031,경상남도 산청군 생초면 상촌리,35.47828434,127.8152933,1.099
4886033032,경상남도 산청군 생초면 계남리,35.52493917,127.8313051,2.686
4886034000,경상남도 산청군 금서면,35.41927478,127.8131565,6.416
4886034021,경상남도 산청군 금서면 매촌리,35.41892601,127.8596835,1.687
4886034022,경상남도 산청군 금서면 평촌리,35.41281696,127.8462485,2.104
4886034023,경상남도 산청군 금서면 향양리,35.41763193,127.8259487,1.645
4886034024,경상남도 산청군 금서면 수철리,35.40182607,127.8074599,2.535
4886034025,경상남도 산청군 금서면 지막리,35.3897262,127.8296358,2.682
4886034026,경상남도 산청군 금서면 특리,35.43996204,127.8401095,2.744
4886034027,경상남도 산청군 금서면 신아리,35.45558816,127.8166199,1.957
4886034028,경상남도 산청군 금서면 주상리,35.46135167,127.7911936,1.006
4886034029,경상남도 산청군 금서면 화계리,35.44853936,127.7999715,1.858
4886034030,경상남도 산청군 금서면 자혜리,35.43378204,127.7935776,2.042
4886034031,경상남도 산청군 금서면 방곡리,35.41512043,127.780765,2.251
4886034032,경상남도 산청군 금서면 오봉리,35.3943446,127.7691539,1.955
4886035000,경상남도 산청군 삼장면,35.33963458,127.8084391,6.969
4886035021,경상남도 산청군 삼장면 석남리,35.3292501,127.8309863,2.181
