dnid,dnname,dnlatitude,dnlongitude,dnradius
4790043030,경상북도 예천군 은풍면 시항리,36.74154188,128.4656243,1.83
4812313400,경상남도 창원시 성산구 용지동,35.23263624,128.6814946,0.413
4122012800,경기도 평택시 고덕동,37.04392854,127.0393185,3.729
2671025927,부산광역시 기장군 일광읍 칠암리,35.29932082,129.2562036,0.595
4825012500,경상남도 김해시 부곡동,35.21208684,128.7958029,2.202
4825012600,경상남도 김해시 무계동,35.2000567,128.8152527,1.29
4159012900,경기도 화성시 오산동,37.19089331,127.0946066,2.155
4783025321,경상북도 고령군 대가야읍 쾌빈리,35.7425627,128.2645994,1.755
4793040026,경상북도 울진군 매화면 기양리,36.89572859,129.3588388,3.987
4480025629,충청남도 홍성군 홍북읍 갈산리,36.66420243,126.715764,1.454
4146125629,경기도 용인시 처인구 이동읍 서리,37.20273492,127.171783,3.413
4159013800,경기도 화성시 방교동,37.17273301,127.08812,1.641
4812314100,경상남도 창원시 성산구 퇴촌동,35.24212238,128.6758879,0.546
4167034523,경기도 여주시 세종대왕면 왕대리,37.31211153,127.6040111,3.414
4167034530,경기도 여주시 세종대왕면 광대리,37.259876,127.57619,1.816
2671025922,부산광역시 기장군 일광읍 이천리,35.27540047,129.241596,1.972
4415012700,충청남도 공주시 동현동,36.47863492,127.1816156,2.084
4713031525,경상북도 경주시 문무대왕면 죽전리,35.75403596,129.3991775,1.999
4159026200,경기도 화성시 남양읍,37.20819118,126.8218175,8.598
4873025327,경상남도 함안군 칠원읍 용정리,35.28985017,128.5246974,2.513
4873025330,경상남도 함안군 칠원읍 운곡리,35.31357151,128.5599884,2.59
4793039022,경상북도 울진군 금강송면 하원리,36.95037953,129.2735646,4.257
4793040024,경상북도 울진군 매화면 덕신리,36.87575503,129.4050796,2.008
2671025925,부산광역시 기장군 일광읍 문중리,35.30334961,129.2533245,0.751
4679039522,전라남도 화순군 백아면 옥리,35.15974184,127.0858633,2.427
4679039527,전라남도 화순군 백아면 송단리,35.18132712,127.1734326,3.375
4679039530,전라남도 화순군 백아면 이천리,35.1673341,127.1261451,1.666
4725032529,경상북도 상주시 사벌국면 매협리,36.4828322,128.2551851,1.873
